epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5765,2.13499,3.44643,1.71745,0.70568,0.01879,0.02145,0.00881,2.0921,3.7037,1.95385,0.000470066,0.000470066,0.000470066
2,72.5467,2.0597,2.65242,1.62797,0.31948,0.28176,0.2391,0.10121,2.04209,2.60099,1.68585,0.00093703,0.00093703,0.00093703
3,100.849,2.04374,2.37607,1.61334,0.29841,0.25318,0.22694,0.09653,2.16054,3.35336,1.80284,0.00139456,0.00139456,0.00139456
4,128.785,2.03136,2.23339,1.60561,0.33553,0.32914,0.28199,0.11377,2.18874,2.32968,1.71508,0.00138656,0.00138656,0.00138656
5,156.303,2.03467,2.1699,1.60391,0.46297,0.26915,0.29353,0.13668,2.01436,2.2975,1.69976,0.00137241,0.00137241,0.00137241
6,184.207,1.96601,2.05536,1.56692,0.33497,0.29772,0.25835,0.11151,2.15635,2.704,1.80624,0.00135826,0.00135826,0.00135826
7,211.84,1.98607,2.01061,1.57123,0.38603,0.37627,0.32732,0.14259,2.09895,2.12655,1.73325,0.00134412,0.00134412,0.00134412
8,239.86,1.94336,1.9771,1.54828,0.33653,0.33506,0.29967,0.13257,2.08781,2.49665,1.74092,0.00132997,0.00132997,0.00132997
9,267.639,1.90599,1.92861,1.52728,0.40654,0.42486,0.38594,0.18001,1.93915,1.99568,1.60994,0.00131582,0.00131582,0.00131582
10,295.577,1.89182,1.87602,1.49997,0.46519,0.43427,0.42552,0.18879,1.96565,2.01037,1.61461,0.00130168,0.00130168,0.00130168
11,322.784,1.87359,1.84585,1.48989,0.42952,0.41494,0.41784,0.19821,1.89135,1.99464,1.5809,0.00128753,0.00128753,0.00128753
12,350.751,1.87028,1.80748,1.49158,0.4844,0.46436,0.45751,0.21052,1.93018,1.87748,1.54696,0.00127338,0.00127338,0.00127338
13,378.653,1.84064,1.77226,1.47555,0.52651,0.46273,0.47768,0.22008,1.85001,1.83301,1.55018,0.00125923,0.00125923,0.00125923
14,406.677,1.83974,1.76602,1.47688,0.47149,0.44722,0.44286,0.20675,1.89109,1.95391,1.54388,0.00124509,0.00124509,0.00124509
15,433.986,1.83468,1.74634,1.45164,0.49406,0.49354,0.48326,0.22732,1.84119,1.75542,1.51545,0.00123094,0.00123094,0.00123094
16,461.572,1.81788,1.7158,1.45183,0.46067,0.46642,0.43032,0.19819,1.90783,1.83188,1.5845,0.00121679,0.00121679,0.00121679
17,488.716,1.79938,1.67326,1.44349,0.47008,0.4533,0.4585,0.20594,1.92443,1.83349,1.53771,0.00120265,0.00120265,0.00120265
18,516.042,1.81258,1.69976,1.44801,0.45684,0.49924,0.46987,0.21839,1.87588,1.80445,1.56384,0.0011885,0.0011885,0.0011885
19,543.43,1.78808,1.64774,1.4314,0.54209,0.48073,0.49276,0.22891,1.87792,1.70714,1.54263,0.00117435,0.00117435,0.00117435
20,570.83,1.7943,1.644,1.4379,0.51209,0.47192,0.47949,0.22076,1.86369,1.79674,1.51703,0.00116021,0.00116021,0.00116021
21,598.211,1.75253,1.6034,1.4092,0.54787,0.48247,0.49865,0.24089,1.83898,1.68282,1.53598,0.00114606,0.00114606,0.00114606
22,625.582,1.75547,1.59848,1.41384,0.57721,0.473,0.49094,0.23518,1.85745,1.70382,1.5182,0.00113191,0.00113191,0.00113191
23,652.894,1.74555,1.58485,1.39914,0.5437,0.49691,0.51791,0.24477,1.85094,1.68841,1.54253,0.00111776,0.00111776,0.00111776
24,680.171,1.76297,1.57645,1.40741,0.52515,0.51201,0.51358,0.24085,1.8518,1.63222,1.52079,0.00110362,0.00110362,0.00110362
25,707.242,1.72536,1.53684,1.38987,0.53674,0.49857,0.50056,0.24401,1.85986,1.70291,1.50587,0.00108947,0.00108947,0.00108947
26,734.458,1.71701,1.52501,1.39053,0.50699,0.49297,0.4983,0.24076,1.85768,1.72433,1.53214,0.00107532,0.00107532,0.00107532
27,762.046,1.68535,1.49546,1.37389,0.56557,0.51525,0.52322,0.24802,1.83726,1.63471,1.5072,0.00106118,0.00106118,0.00106118
28,789.156,1.68056,1.47452,1.35794,0.54617,0.50669,0.51004,0.24721,1.81937,1.64637,1.48717,0.00104703,0.00104703,0.00104703
29,816.521,1.6878,1.47241,1.36414,0.54231,0.54814,0.53447,0.25994,1.82232,1.58263,1.50224,0.00103288,0.00103288,0.00103288
30,843.479,1.67937,1.47173,1.36931,0.56006,0.53812,0.53485,0.25993,1.79323,1.59452,1.47555,0.00101873,0.00101873,0.00101873
31,870.88,1.66801,1.45641,1.35103,0.52942,0.52406,0.50279,0.24506,1.83543,1.61219,1.51064,0.00100459,0.00100459,0.00100459
32,898.356,1.68031,1.461,1.3629,0.5213,0.55471,0.52325,0.24853,1.82025,1.63196,1.48565,0.00099044,0.00099044,0.00099044
33,925.769,1.65768,1.42657,1.34859,0.53498,0.54833,0.53851,0.25914,1.8078,1.57292,1.49639,0.000976293,0.000976293,0.000976293
34,953.16,1.64685,1.41788,1.34381,0.6122,0.50843,0.5383,0.24977,1.84667,1.61996,1.50271,0.000962146,0.000962146,0.000962146
35,980.076,1.64163,1.38661,1.33713,0.58326,0.51623,0.54419,0.26134,1.82019,1.56639,1.50432,0.000947999,0.000947999,0.000947999
